team,iso_date
Ath Bilbao,2015-05-31
Barcelona,2015-05-31
Espanyol,2015-03-05
Ath Bilbao,2015-03-05
Villarreal,2015-03-05
Barcelona,2015-03-05
Ath Bilbao,2015-02-12
Espanyol,2015-02-12
Barcelona,2015-02-12
Villarreal,2015-02-12
Ath Bilbao,2015-01-30
Malaga,2015-01-30
Sevilla,2015-01-30
Espanyol,2015-01-30
Getafe,2015-01-30
Villarreal,2015-01-30
Atl. Madrid,2015-01-29
Barcelona,2015-01-29
Espanyol,2015-01-23
Sevilla,2015-01-23
Barcelona,2015-01-22
Atl. Madrid,2015-01-22
Malaga,2015-01-22
Ath Bilbao,2015-01-22
Villarreal,2015-01-22
Getafe,2015-01-22
Elche,2015-01-16
Barcelona,2015-01-16
Real Madrid,2015-01-16
Atl. Madrid,2015-01-16
Sevilla,2015-01-15
Granada CF,2015-01-15
Ath Bilbao,2015-01-15
Celta Vigo,2015-01-15
Getafe,2015-01-15
Almeria,2015-01-15
Real Sociedad,2015-01-15
Villarreal,2015-01-15
Levante,2015-01-14
Malaga,2015-01-14
Espanyol,2015-01-14
Valencia,2015-01-14
Barcelona,2015-01-09
Elche,2015-01-09
Granada CF,2015-01-09
Sevilla,2015-01-09
Almeria,2015-01-08
Getafe,2015-01-08
Valencia,2015-01-08
Espanyol,2015-01-08
Atl. Madrid,2015-01-08
Real Madrid,2015-01-08
Villarreal,2015-01-08
Real Sociedad,2015-01-08
Malaga,2015-01-07
Levante,2015-01-07
Celta Vigo,2015-01-07
Ath Bilbao,2015-01-07
Ath Bilbao,2014-12-19
Alcoyano,2014-12-19
Malaga,2014-12-19
Dep. La Coruna,2014-12-19
Atl. Madrid,2014-12-19
L Hospitalet,2014-12-19
Elche,2014-12-19
Valladolid,2014-12-19
Cordoba,2014-12-18
Granada CF,2014-12-18
Real Sociedad,2014-12-18
R. Oviedo,2014-12-18
Villarreal,2014-12-18
Cadiz CF,2014-12-18
Eibar,2014-12-18
Getafe,2014-12-18
Espanyol,2014-12-18
Alaves,2014-12-18
Levante,2014-12-18
Albacete,2014-12-18
Almeria,2014-12-17
Betis,2014-12-17
Barcelona,2014-12-17
Huesca,2014-12-17
Celta Vigo,2014-12-17
Las Palmas,2014-12-17
Valencia,2014-12-17
Rayo Vallecano,2014-12-17
Betis,2014-12-06
Almeria,2014-12-06
Albacete,2014-12-06
Levante,2014-12-06
Getafe,2014-12-06
Eibar,2014-12-06
Rayo Vallecano,2014-12-05
Valencia,2014-12-05
Cadiz CF,2014-12-05
Villarreal,2014-12-05
R. Oviedo,2014-12-05
Real Sociedad,2014-12-05
Granada CF,2014-12-04
Cordoba,2014-12-04
Huesca,2014-12-04
Barcelona,2014-12-04
Dep. La Coruna,2014-12-04
Malaga,2014-12-04
L Hospitalet,2014-12-04
Atl. Madrid,2014-12-04
Sevilla,2014-12-04
Sabadell,2014-12-04
Las Palmas,2014-12-03
Celta Vigo,2014-12-03
Valladolid,2014-12-03
Elche,2014-12-03
Alaves,2014-12-03
Espanyol,2014-12-03
Alcoyano,2014-12-03
Ath Bilbao,2014-12-03
Real Madrid,2014-12-03
Cornella,2014-12-03
Sabadell,2014-10-30
Sevilla,2014-10-30
Cornella,2014-10-30
Real Madrid,2014-10-30
Las Palmas,2014-10-17
Numancia,2014-10-17
Betis,2014-10-16
Lugo,2014-10-16
Cornella,2014-10-16
Leioa,2014-10-16
Linense,2014-10-16
Cadiz CF,2014-10-16
Alcoyano,2014-10-16
Lleida,2014-10-16
Huesca,2014-10-16
Barakaldo,2014-10-16
R. Oviedo,2014-10-16
UCAM Murcia,2014-10-16
L Hospitalet,2014-10-16
Izarra,2014-10-16
Valladolid,2014-10-16
Girona,2014-10-16
Albacete,2014-10-15
Recreativo Huelva,2014-10-15
Mirandes,2014-10-15
Alaves,2014-10-15
Lugo,2014-09-12
Alcorcon,2014-09-12
Mallorca,2014-09-11
Las Palmas,2014-09-11
Cadiz CF,2014-09-11
Lealtad,2014-09-11
Cornella,2014-09-11
Zamora,2014-09-11
Guijuelo,2014-09-11
L Hospitalet,2014-09-11
Leganes,2014-09-11
Numancia,2014-09-11
Linense,2014-09-11
Fuenlabrada,2014-09-11
Lleida,2014-09-11
Guadalajara,2014-09-11
Murcia,2014-09-11
Sabadell,2014-09-11
Recreativo Huelva,2014-09-11
Ponferradina,2014-09-11
Villanovense,2014-09-11
Huesca,2014-09-11
Mirandes,2014-09-11
Racing Club Ferrol,2014-09-11
Alcoyano,2014-09-11
Gimnastic,2014-09-11
Real Aviles,2014-09-11
Barakaldo,2014-09-11
UCAM Murcia,2014-09-11
Eldense,2014-09-11
Albacete,2014-09-11
Zaragoza,2014-09-11
Betis,2014-09-11
Badalona Futur,2014-09-11
Gijon,2014-09-11
Valladolid,2014-09-11
Izarra,2014-09-11
Somozas,2014-09-11
Leioa,2014-09-11
Teruel,2014-09-11
Alaves,2014-09-10
Osasuna,2014-09-10
Girona,2014-09-10
Tenerife,2014-09-10
FC Cartagena SAD,2014-09-04
UCAM Murcia,2014-09-04
Hercules,2014-09-04
Eldense,2014-09-04
Lorca FC,2014-09-04
Villanovense,2014-09-04
Marbella,2014-09-04
Linense,2014-09-04
San Roque,2014-09-04
Cadiz CF,2014-09-04
Alcoyano,2014-09-04
Pena Deportiva,2014-09-04
Cornella,2014-09-04
Jaen,2014-09-04
Gimnastic,2014-09-04
Baleares,2014-09-04
Huesca,2014-09-04
Toledo,2014-09-04
R. Oviedo,2014-09-04
Amorebieta,2014-09-04
Racing Club Ferrol,2014-09-04
Atl. Astorga,2014-09-04
Real Aviles,2014-09-04
Marino de Luanco,2014-09-04
Torrelavega,2014-09-04
Lealtad,2014-09-04
Barakaldo,2014-09-04
Trival Valderas,2014-09-04
CD Puertollano,2014-09-04
Teruel,2014-09-04
Izarra,2014-09-04
Atletico Granadilla,2014-09-04
Leioa,2014-09-04
Sestao,2014-09-04
Somozas,2014-09-04
Varea,2014-09-04
Barcelona,2016-05-23
Sevilla,2016-05-23
Celta Vigo,2016-02-12
Sevilla,2016-02-12
Valencia,2016-02-11
Barcelona,2016-02-11
Sevilla,2016-02-05
Celta Vigo,2016-02-05
Barcelona,2016-02-04
Valencia,2016-02-04
Las Palmas,2016-01-29
Valencia,2016-01-29
Mirandes,2016-01-29
Sevilla,2016-01-29
Barcelona,2016-01-28
Ath Bilbao,2016-01-28
Atl. Madrid,2016-01-28
Celta Vigo,2016-01-28
Sevilla,2016-01-22
Mirandes,2016-01-22
Valencia,2016-01-22
Las Palmas,2016-01-22
Ath Bilbao,2016-01-21
Barcelona,2016-01-21
Celta Vigo,2016-01-21
Atl. Madrid,2016-01-21
Atl. Madrid,2016-01-15
Rayo Vallecano,2016-01-15
Granada CF,2016-01-15
Valencia,2016-01-15
Espanyol,2016-01-14
Barcelona,2016-01-14
Las Palmas,2016-01-14
Eibar,2016-01-14
Celta Vigo,2016-01-14
Cadiz CF,2016-01-14
Villarreal,2016-01-14
Ath Bilbao,2016-01-14
Dep. La Coruna,2016-01-13
Mirandes,2016-01-13
Sevilla,2016-01-13
Betis,2016-01-13
Cadiz CF,2016-01-08
Celta Vigo,2016-01-08
Eibar,2016-01-08
Las Palmas,2016-01-08
Rayo Vallecano,2016-01-07
Atl. Madrid,2016-01-07
Barcelona,2016-01-07
Espanyol,2016-01-07
Betis,2016-01-07
Sevilla,2016-01-07
Mirandes,2016-01-06
Dep. La Coruna,2016-01-06
Valencia,2016-01-06
Granada CF,2016-01-06
Ath Bilbao,2016-01-06
Villarreal,2016-01-06
Granada CF,2015-12-18
Leganes,2015-12-18
Villarreal,2015-12-18
Huesca,2015-12-18
Atl. Madrid,2015-12-18
Reus FCR,2015-12-18
Celta Vigo,2015-12-18
Almeria,2015-12-18
Malaga,2015-12-17
Mirandes,2015-12-17
Real Sociedad,2015-12-17
Las Palmas,2015-12-17
Valencia,2015-12-17
Barakaldo,2015-12-17
Ath Bilbao,2015-12-17
Linense,2015-12-17
Eibar,2015-12-17
Ponferradina,2015-12-17
Getafe,2015-12-17
Rayo Vallecano,2015-12-17
Espanyol,2015-12-16
Levante,2015-12-16
Sevilla,2015-12-16
UD Logrones,2015-12-16
Dep. La Coruna,2015-12-16
Badalona Futur,2015-12-16
Gijon,2015-12-16
Betis,2015-12-16
Las Palmas,2015-12-04
Real Sociedad,2015-12-04
Huesca,2015-12-04
Villarreal,2015-12-04
Levante,2015-12-04
Espanyol,2015-12-04
Mirandes,2015-12-04
Malaga,2015-12-04
Ponferradina,2015-12-04
Eibar,2015-12-04
Linense,2015-12-04
Ath Bilbao,2015-12-04
Cadiz CF,2015-12-03
Real Madrid,2015-12-03
Almeria,2015-12-03
Celta Vigo,2015-12-03
Badalona Futur,2015-12-03
Dep. La Coruna,2015-12-03
Barakaldo,2015-12-03
Valencia,2015-12-03
Betis,2015-12-03
Gijon,2015-12-03
Rayo Vallecano,2015-12-03
Getafe,2015-12-03
UD Logrones,2015-12-03
Sevilla,2015-12-03
Barcelona,2015-12-03
Villanovense,2015-12-03
Leganes,2015-12-02
Granada CF,2015-12-02
Reus FCR,2015-12-02
Atl. Madrid,2015-12-02
Villanovense,2015-10-29
Barcelona,2015-10-29
Ponferradina,2015-10-16
Lugo,2015-10-16
Zaragoza,2015-10-16
Badalona Futur,2015-10-16
Linense,2015-10-15
Ebro,2015-10-15
Villanovense,2015-10-15
Racing Club Ferrol,2015-10-15
UD Logrones,2015-10-15
UCAM Murcia,2015-10-15
Almeria,2015-10-15
Gimnastic,2015-10-15
Barakaldo,2015-10-15
Huracan,2015-10-15
Cadiz CF,2015-10-15
Laredo,2015-10-15
Leganes,2015-10-15
Alaves,2015-10-15
R. Oviedo,2015-10-15
Mirandes,2015-10-15
Reus FCR,2015-10-15
Lleida,2015-10-15
Mallorca,2015-09-11
Huesca,2015-09-11
R. Oviedo,2015-09-10
Valladolid,2015-09-10
Villanovense,2015-09-10
Pena,2015-09-10
CF Talavera,2015-09-10
Linense,2015-09-10
Racing Club Ferrol,2015-09-10
Castellon,2015-09-10
UD Logrones,2015-09-10
Linares,2015-09-10
Alcorcon,2015-09-10
Ponferradina,2015-09-10
Arandina,2015-09-10
Reus FCR,2015-09-10
Badalona Futur,2015-09-10
Albacete,2015-09-10
Cordoba,2015-09-10
Lugo,2015-09-10
Gimnastic,2015-09-10
Girona,2015-09-10
Leganes,2015-09-10
Tenerife,2015-09-10
Lleida,2015-09-10
Guijuelo,2015-09-10
Mirandes,2015-09-10
Osasuna,2015-09-10
Numancia,2015-09-10
Alaves,2015-09-10
UCAM Murcia,2015-09-10
Algeciras,2015-09-10
Barakaldo,2015-09-10
Formentera,2015-09-10
Almeria,2015-09-10
Elche,2015-09-10
Laredo,2015-09-10
Cultural Leonesa,2015-09-10
Huracan,2015-09-10
Socuellamos,2015-09-10
Ebro,2015-09-10
Tudelano,2015-09-10
Mensajero,2015-09-10
Cadiz CF,2015-09-10
Melilla,2015-09-03
Algeciras,2015-09-03
Linares,2015-09-03
Jumilla,2015-09-03
Linense,2015-09-03
Recreativo Huelva,2015-09-03
Lleida,2015-09-03
Hercules,2015-09-03
Murcia,2015-09-03
